id,stationID,longitude,latitude,live,avg,cityID,stateID
site_5331,"Kariavattom, Thiruvananthapuram - Kerala PCB",76.8865,8.5637,FALSE,,Thiruvananthapuram,Kerala
site_252,"Plammoodu, Thiruvananthapuram - Kerala PCB",76.9435879,8.5149093,TRUE,20,Thiruvananthapuram,Kerala
site_5272,"Kacheripady, Ernakulam - Kerala PCB",76.281342,9.985653,TRUE,27,Ernakulam,Kerala
site_5276,"Thavakkara, Kannur - Kerala PCB",75.3732,11.875,TRUE,56,Kannur,Kerala
site_5334,"Polayathode, Kollam - Kerala PCB",76.6073,8.8787,TRUE,54,Kollam,Kerala
site_5271,"Palayam, Kozhikode - Kerala PCB",75.784371,11.249077,TRUE,70,Kozhikode,Kerala
site_5105,"Udyogamandal, Eloor - Kerala PCB",76.302765,10.073232,FALSE,,Eloor,Kerala
site_5270,"Vyttila, Kochi - Kerala PCB",76.321186,9.969447,TRUE,40,Kochi,Kerala
site_5390,"Corporation Ground, Thrissur - Kerala PCB",76.2159,10.5324,FALSE,,Thrissur,Kerala
site_1403,"Sector-D Industrial Area, Mandideep - MPPCB",77.511428,23.10844,TRUE,29,Mandideep,Madhya Pradesh
site_5068,"Sahilara, Maihar - KJS Cements",80.7231783,24.2613009,FALSE,,Maihar,Madhya Pradesh
site_1404,"Bhopal Chauraha, Dewas - MPPCB",76.064118,22.9682591,TRUE,35,Dewas,Madhya Pradesh
site_5247,"T T Nagar, Bhopal - MPPCB",77.400574,23.233584,TRUE,35,Bhopal,Madhya Pradesh
site_5040,"Shrivastav Colony, Damoh - MPPCB",79.446246,23.81748678,TRUE,38,Damoh,Madhya Pradesh
site_5273,"City Center, Gwalior - MPPCB",78.193251,26.203442,TRUE,37,Gwalior,Madhya Pradesh
site_5275,"Phool Bagh, Gwalior - Mondelez Ind. Food",78.171,26.210536,FALSE,,Gwalior,Madhya Pradesh
site_1402,"Sector-2 Industrial Area, Pithampur - MPPCB",75.675238,22.624758,FALSE,,Pithampur,Madhya Pradesh
site_5269,"Deen Dayal Nagar, Sagar - MPPCB",78.80289321,23.8640158,TRUE,8,Sagar,Madhya Pradesh
site_1433,"Bandhavgar Colony, Satna - Birla Cement",80.8549414,24.58434363,TRUE,30,Satna,Madhya Pradesh
site_5249,"Marhatal, Jabalpur - MPPCB",79.932247,23.168606,TRUE,41,Jabalpur,Madhya Pradesh
site_5042,"Shasthri Nagar, Ratlam - IPCA Lab",75.045981,23.331731,TRUE,25,Ratlam,Madhya Pradesh
site_1401,"Suryakiran Bhawan NCL, Singrauli - MPPCB",82.64558,24.10897,TRUE,55,Singrauli,Madhya Pradesh
