ID,Designation,Comments
1,Analyst,- Ensuring new employees who come with rich experience from outside are treated carefully so that they can lead the change ABC wants to achieve  - Ensuring people who only do politics are shown their
2,Analyst,"Cut down red tapes, introduce automation in process. Decentralize power centers - power should be given to every dept to be autonomous so that we can keep pace with business growth and market demand,"
3,Analyst,"Pay, Training, Social Life for Employees, provide sport facility, schooling for the kids, implement effective evaluation system, ease the HR rules especially those affecting employees (e.g: pay during"
4,Analyst,no office spaces
5,Analyst,"ABC staff should have anual increment, or promotion for every 2 years"
6,Analyst,"Staff satisfaction. by salary adjustments and allowances review.  Like other big organaization ,ABC staff should feel proud and specail and should get always better deals and prices in hotels,resturan"
7,Analyst,Success in the global Market place increasingly requires firms develop capabilities in Innovation.  A system that allows gain sharing by employees and provides employment assurance will foster innovat
8,Analyst,"Professional training, fair performance appraisal, encaurage people to develop, salary should be consistent with rest of the market"
9,Analyst,Initiating and implementing updated modules of Business standards as per Market requirement.
10,Analyst,- Training staff to improve their skills. - Input new Islamic product to meet costumers requirements in all fields. - facilitate the required documentation of the costumers.
11,Analyst,More training to all employees so the employees can have a good base understanding of all of its products and services. I am new and i usually get different answers on processes from different branche
12,Analyst,First how about some recognition to the staff a person who is working as a acting unit head for two years and holding an outstanding performance in 2012 should at least given the title. Second motivat
13,Analyst,Work as a team.
14,Analyst,"1) Bank should concentrate on motivation factor ( by appreciation    wise,reward,awards,monetary wise, etc....)"
15,Analyst,Treat employees fairly. The bank should be generous with praise. Management should be more transparent with employees. HR should implement motivational programs. Rebuilt ABC culture and old mentality
16,Analyst,"Good Marketing, professional staffs"
17,Analyst,"No command ,Currently ABC Going good way .."
18,Analyst," - More interaction between senior managment and their employees  - sharing a ""stakeholders"" concept"
19,Analyst,Support employees to enhance their skills by providing adequate training and consucted professional courses with certification
20,Analyst,Pay staff according to their performance Allow staff who are underpaid to get their salaries rectified Recognise high achievers Be more transparent and visible Help employees understand the opportunit
21,Analyst,"More focus on the Expatriate community and products suite for their needs. A great number of expatriates including Indians, Europeans and other Asian natives do not aware about the Islamic Banking pro"
22,Analyst,"Accountability to each and every staff and officer of the bank. Business focus in each and every move, step, effort or energy spent. What does not add to the bottom line should not be done or ventured"
23,Analyst,1. Introduce one core system for the whole Bank which will save data retreving time. Replace worn out hardwares to improve performance 2. Job security of all levels to be stabalized. All staff must fe
24,Analyst,"there could be more branches/at least ""dispatch counters"" to serve  especially in all residential areas to serve customer better as well as to increase customer base and business.  it can avoid delay"
25,Analyst,The bank is only interested in the number of Qataris that they are required by the labor department to hire.The salary for Qataris is not competitive with other banks.  Raises and grade promotions are
26,Assistant Manager,"Better on-boarding process of new employees & consequent communication to other team even before he arrives, not that he is arriving tomorrow & you inform the teams a day earlier.  Benefits & compensa"
27,Assistant Manager,"provide exposure to a myriad of experiences, training and all efforts that assist in professional growth,independence and cofidence growth in all aspects of work . qatar islamic bank has an ultimate a"
28,Assistant Manager,"ABC needs to have clear policies and procedures regarding the staff and the clients, everything is Vage and we should have a clearer view on policies and procedures. ABC needs to change its look from"
